date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
8/6/21,CML,YBGW,Molted,F,NA,12,A,3,NA,NA,start
6/29/21,CML,OBYB,Dead,M,NA,10.5,A,3,NA,NA,NA
7/1/21,CML,OBYB,Dead,M,NA,9.5,A,3,NA,NA,NA
7/5/21,CML,OBYB,Dead,M,NA,10.5,A,3,NA,NA,NA
7/9/21,CML,OBYB,Dead,M,NA,8.5,A,NA,NA,NA,NA
8/6/21,CML,YBGY,Removed,F,NA,10.5,A,3,NA,NA,start
8/6/21,CML,YBKG,Dead,F,NA,12,A,3,NA,NA,start
6/7/21,WL,OBYG,Removed,M,NA,9,A,3,NA,NA,NA
6/10/21,WL,OBYG,Removed,M,NA,NA,A,3,NA,NA,NA
8/6/21,CML,YBKW,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBR,Removed,F,NA,7.5,A,3,NA,NA,start
6/21/21,WL,OBYK,Removed,M,NA,6.5,A,3,NA,NA,NA
6/24/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,OBYK,Removed,M,NA,6,A,3,NA,NA,NA
7/1/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,WL,OBYK,Removed,M,NA,5,A,3,NA,NA,NA
7/8/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,NA
7/12/21,WL,OBYK,Removed,M,NA,4.5,A,3,NA,NA,NA
7/15/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,NA
7/19/21,WL,OBYK,Removed,M,NA,4,A,3,NA,NA,NA
8/6/21,CML,YBRB,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBRW,Dead,F,NA,13,A,3,NA,NA,start
6/14/21,WL,OBYR,Molted,M,NA,2.5,A,3,NA,NA,NA
6/18/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,OBYR,Molted,M,NA,11.5,A,3,NA,NA,NA
6/24/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,NA
8/6/21,CML,YBWW,Dead,F,NA,10.5,A,3,NA,NA,start
8/6/21,WL,YBY,Molted,F,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBYW,Dead,M,NA,10,A,3,NA,NA,NA
7/1/21,CML,OBYW,Dead,M,NA,9,A,3,NA,NA,NA
8/6/21,CML,YY,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YYGW,Removed,F,NA,11,A,3,NA,NA,start
7/26/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
7/29/21,WL,PB,Removed,F,NA,7,A,3,NA,NA,NA
8/2/21,WL,PB,Removed,F,NA,7,A,3,NA,NA,NA
8/6/21,WL,PB,Removed,F,NA,7,A,3,NA,NA,NA
8/9/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
8/12/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
8/16/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
8/19/21,WL,PB,Removed,F,NA,6,A,3,NA,NA,NA
8/23/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
8/26/21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,NA
8/30/21,WL,PB,Removed,F,NA,6,A,3,NA,NA,NA
8/6/21,CML,YYGY,Molted,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YYK,Dead,F,NA,10,A,3,NA,NA,start
7/19/21,WL,PBBG,Molted,F,NA,NA,A,3,NA,NA,NA
8/6/21,CML,YYR,Molted,F,NA,7.5,A,3,NA,NA,start
8/6/21,CML,YYY,Molted,F,NA,9,A,3,NA,NA,start
7/26/21,WL,PBBK,Removed,F,NA,9.5,A,3,NA,NA,NA
7/29/21,WL,PBBK,Removed,F,NA,9.5,A,3,NA,NA,NA
8/2/21,WL,PBBK,Removed,F,NA,9,A,3,NA,NA,NA
8/6/21,WL,PBBK,Removed,F,NA,9.5,A,3,NA,NA,NA
8/9/21,WL,PBBK,Removed,F,NA,9,A,3,NA,NA,NA
8/12/21,WL,PBBK,Removed,F,NA,8.5,A,3,NA,NA,NA
8/16/21,WL,PBBK,Removed,F,NA,8,A,3,NA,NA,NA
8/19/21,WL,PBBK,Removed,F,NA,8,A,3,NA,NA,NA
8/23/21,WL,PBBK,Removed,F,NA,7.5,A,3,NA,NA,NA
8/26/21,WL,PBBK,Removed,F,NA,8,A,3,NA,NA,NA
8/30/21,WL,PBBK,Removed,F,NA,8,A,3,NA,NA,NA
8/6/21,CML,YYYG,Removed,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YYYK,Molted,F,NA,7.5,A,3,NA,NA,start
7/9/21,CML,PBBR,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,PBBR,Removed,M,NA,8,A,3,NA,NA,NA
7/15/21,CML,PBBR,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,PBBR,Removed,M,NA,7,A,3,NA,NA,NA
8/6/21,CML,YYYW,Removed,F,NA,9.5,A,3,NA,NA,start
8/10/21,CML,YYK,Dead,F,NA,NA,NA,NA,NA,NA,end
8/12/21,WL,PBGR,Missing,F,NA,6,A,3,NA,NA,end
8/12/21,WL,YBG,Dead,F,NA,NA,D,NA,NA,NA,end
7/15/21,WL,PBBY,Removed,F,NA,7,A,3,NA,NA,NA
7/19/21,WL,PBBY,Removed,F,NA,7,A,3,NA,NA,NA
7/26/21,WL,PBBY,Removed,F,NA,6.5,A,3,NA,NA,NA
7/29/21,WL,PBBY,Removed,F,NA,6.5,A,3,NA,NA,NA
8/2/21,WL,PBBY,Removed,F,NA,6,A,3,NA,NA,NA
8/6/21,WL,PBBY,Removed,F,NA,5.5,A,3,NA,NA,NA
8/9/21,WL,PBBY,Removed,F,NA,4.5,A,3,NA,NA,NA
8/12/21,WL,PBBY,Removed,F,NA,5,A,3,NA,NA,NA
8/16/21,WL,PBBY,Removed,F,NA,4,A,3,NA,NA,NA
8/19/21,WL,PBBY,Removed,F,NA,4.5,A,3,NA,NA,NA
8/12/21,WL,YBYB,Molted,F,NA,5,M,2,NA,NA,end
8/16/21,WL,PBR,Dead,F,NA,NA,D,3,NA,NA,end
7/19/21,WL,PBGG,Removed,F,NA,8,A,3,NA,NA,NA
7/22/21,WL,PBGG,Removed,F,NA,8,A,3,NA,NA,NA
7/26/21,WL,PBGG,Removed,F,NA,7.5,A,3,NA,NA,NA
7/29/21,WL,PBGG,Removed,F,NA,8,A,3,NA,NA,NA
8/2/21,WL,PBGG,Removed,F,NA,10.5,A,3,NA,NA,NA
8/6/21,WL,PBGG,Removed,F,NA,12,A,3,NA,NA,NA
8/9/21,WL,PBGG,Removed,F,NA,8,A,3,NA,NA,NA
8/12/21,WL,PBGG,Removed,F,NA,12,A,3,NA,NA,NA
8/16/21,WL,PBGG,Removed,F,NA,11,A,3,NA,NA,NA
8/19/21,WL,PBGG,Removed,F,NA,11,A,3,NA,NA,NA
8/23/21,WL,PBGG,Removed,F,NA,8.5,A,3,NA,NA,NA
8/26/21,WL,PBGG,Removed,F,NA,10.5,A,3,NA,NA,NA
8/30/21,WL,PBGG,Removed,F,NA,9,A,3,NA,NA,NA
8/16/21,WL,PBWY,Dead,F,NA,NA,D,3,NA,NA,end
8/16/21,WL,PBYB,Dead,F,NA,NA,D,3,NA,NA,end
7/13/21,CML,PBGK,Removed,M,NA,5,A,3,NA,NA,NA
7/15/21,CML,PBGK,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,PBGK,Removed,M,NA,4.5,A,3,NA,NA,NA
8/17/21,CML,YBKG,Dead,F,NA,NA,D,NA,NA,NA,end
8/17/21,CML,YYGY,Molted,F,NA,5,M,1,NA,NA,end
7/26/21,WL,PBGR,Missing,F,NA,7,A,3,NA,NA,NA
7/29/21,WL,PBGR,Missing,F,NA,6.5,A,3,NA,NA,NA
8/2/21,WL,PBGR,Missing,F,NA,6.5,A,3,NA,NA,NA
8/6/21,WL,PBGR,Missing,F,NA,6,A,3,NA,NA,NA
8/9/21,WL,PBGR,Missing,F,NA,5.5,A,3,NA,NA,NA
8/19/21,CML,YBGR,Molted,F,NA,4,M,1,NA,NA,end
8/19/21,CML,YBGW,Molted,F,NA,5,M,1,NA,NA,end
6/28/21,WL,PBGW,Removed,M,NA,7,A,3,NA,NA,NA
7/1/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,WL,PBGW,Removed,M,NA,6.5,A,3,NA,NA,NA
7/8/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,NA
7/12/21,WL,PBGW,Removed,M,NA,6,A,3,NA,NA,NA
7/15/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,NA
7/19/21,WL,PBGW,Removed,M,NA,5.5,A,3,NA,NA,NA
8/19/21,WL,YYW,Dead,F,NA,NA,D,3,NA,NA,end
